CUMULATIVE LATENT POWER,Power_latent,Power_web_sensible,Power_ink_sensible,Power_total
W,W,W,W,W
SOLVENT 1
10512.5423030344, 10512.5423030344, 3862.44888777202, 1.57082903771114, 14376.5620198442
10513.577885781, 10513.577885781, 3972.95900989145, 1.49799165364439, 14488.0348873261
10514.4626555062, 10514.4626555062, 4076.86254862331, 1.43390800407522, 14592.7591121336
10515.2267748143, 10515.2267748143, 4175.36070094715, 1.37721781062605, 14691.9646935721
10515.8903521082, 10515.8903521082, 4267.25226988341, 1.32646589177671, 14784.4690878834
10516.4734957907, 10516.4734957907, 4354.33905090144, 1.28084669444048, 14872.0933933866
10516.9922925841, 10516.9922925841, 4436.02044551146, 1.23899153897797, 14954.2517296346
10517.4487533287, 10517.4487533287, 4510.49465824411, 1.200853198543, 15029.1442647714
10517.8529322259, 10517.8529322259, 4582.56647701766, 1.16701893170772, 15101.5864281753
10518.2148834772, 10518.2148834772, 4654.6382957912, 1.13714362984929, 15173.9903228982
10518.538628763, 10518.538628763, 4714.69814476915, 1.10812124621617, 15234.3448947783
10518.8291951841, 10518.8291951841, 4774.7579937471, 1.08252073454694, 15294.6697096657
10519.0916098412, 10519.0916098412, 4834.81784272505, 1.05981744814242, 15354.9692700144
10519.3288889948, 10519.3288889948, 4888.87170680521, 1.03845819076134, 15409.2390539908
10519.5440489052, 10519.5440489052, 4936.91958598757, 1.01825574910052, 15457.4818906419
10519.7391004129, 10519.7391004129, 4984.96746516993, 1.00033098286259, 15505.7068965656
10519.917059778, 10519.917059778, 5027.00935945449, 0.983157662819513, 15547.9095768953
10520.0789324209, 10520.0789324209, 5069.05125373906, 0.967890357440434, 15590.0980765174
10520.227734602, 10520.227734602, 5105.08716312583, 0.953024618546432, 15626.2679223464
10520.3634663212, 10520.3634663212, 5147.1290574104, 0.940873386116133, 15668.4333971177
10520.4881384188, 10520.4881384188, 5177.15898189937, 0.927885484814642, 15698.575005803
10520.6027563151, 10520.6027563151, 5213.19489128614, 0.917238700563264, 15734.7148863018
10520.70832543, 10520.70832543, 5243.22481577512, 0.90667662039182, 15764.8398178255
10520.8058511838, 10520.8058511838, 5273.25474026409, 0.897147238533702, 15794.9577386864
10520.8953335765, 10520.8953335765, 5297.27867985527, 0.887664876083221, 15819.0616783078
10520.9777780281, 10520.9777780281, 5321.30261944645, 0.879131545058947, 15843.1595290196
10521.0541899589, 10521.0541899589, 5345.32655903763, 0.87140791589266, 15867.2521569125
10521.1255747891, 10521.1255747891, 5369.35049862881, 0.864351893168634, 15891.340425311
10521.1909270983, 10521.1909270983, 5393.37443821999, 0.858129082006414, 15915.4234944003
10521.252257727, 10521.252257727, 5411.39239291338, 0.851495023892838, 15933.4961456643
10521.3085612549, 10521.3085612549, 5429.41034760676, 0.845579048938545, 15951.5644879106
10521.3608431023, 10521.3608431023, 5447.42830230015, 0.840232147109037, 15969.6293775496
10521.4101086893, 10521.4101086893, 5465.44625699353, 0.835303233984186, 15987.6916689168
10521.4553525957, 10521.4553525957, 5477.45822678912, 0.830044666409467, 15999.7436240513
10521.4975802417, 10521.4975802417, 5495.47618148251, 0.826131856512894, 16017.7998935807
10521.5367916272, 10521.5367916272, 5507.4881512781, 0.82175542142778, 16029.8466983268
