CUMULATIVE LATENT POWER,Power_latent,Power_web_sensible,Power_ink_sensible,Power_total
W,W,W,W,W
SOLVENT 1
9609.80571988778, 9609.80571988778, 0, 0, 9609.80571988778
9716.98350705456, 9716.98350705456, 28.2281290196369, 0.654361490006219, 9745.8659975642
9814.20763481279, 9814.20763481279, 60.0598489779509, 1.22509758060593, 9875.49258137134
9900.8748510771, 9900.8748510771, 94.8945613851624, 1.70021832285165, 9997.46963078512
9976.78407181905, 9976.78407181905, 132.131667751492, 2.08026305700745, 10110.9960026275
10042.0358390529, 10042.0358390529, 172.371766566719, 2.39181330628058, 10216.7994189259
10097.2334048639, 10097.2334048639, 213.813062361505, 2.62899337337108, 10313.6754605988
10143.0805633517, 10143.0805633517, 255.854956646071, 2.81012872667461, 10401.7456487245
10180.7838186871, 10180.7838186871, 297.896850930637, 2.95035719533378, 10481.6310268131
10211.3485910124, 10211.3485910124, 338.737548235643, 3.05845343056794, 10553.1445926786
10236.0819265124, 10236.0819265124, 377.776450071311, 3.14345311045502, 10617.0018296942
10256.0897873437, 10256.0897873437, 413.812359458082, 3.2062879798743, 10673.1084347817
10272.2770516344, 10272.2770516344, 447.445874885735, 3.2595426449875, 10722.9824691651
10285.347513484, 10285.347513484, 478.676996354269, 3.30794843368812, 10767.332458272
10296.1055090064, 10296.1055090064, 506.304526884126, 3.34294504793867, 10805.7529809384
10304.9532062584, 10304.9532062584, 530.929064965086, 3.37105643054882, 10839.253327654
10312.292773297, 10312.292773297, 553.151209086928, 3.39593004291984, 10868.8399124269
10318.4258361649, 10318.4258361649, 572.970959249652, 3.41701098689541, 10894.8138064015
10323.5534788905, 10323.5534788905, 589.787716963478, 3.43072613322606, 10916.7719219872
10327.8767855023, 10327.8767855023, 605.403277697745, 3.44663321370685, 10936.7266964138
10331.4962980145, 10331.4962980145, 618.616444472894, 3.45775883530806, 10953.5705013227
10334.6131004556, 10334.6131004556, 630.027815778705, 3.46532861420671, 10968.1062448485
10337.2271928255, 10337.2271928255, 640.237990104957, 3.47357602574484, 10980.9387589562
10339.4391171385, 10339.4391171385, 649.24696745165, 3.48134287127844, 10992.1674274615
10341.3494154088, 10341.3494154088, 657.054747818783, 3.48727734283794, 11001.8914405705
10343.0586296507, 10343.0586296507, 663.661331206358, 3.48986859622207, 11010.2098294533
10344.4662178499, 10344.4662178499, 669.667316104153, 3.49446681770423, 11017.6280007718
10345.6727220206, 10345.6727220206, 674.472104022389, 3.49624387472817, 11023.6410699178
10346.6781421629, 10346.6781421629, 679.276891940625, 3.50159924696567, 11029.4566333505
10347.583020291, 10347.583020291, 682.880482879302, 3.50248604682294, 11033.9659892171
10348.2868143906, 10348.2868143906, 686.484073817979, 3.50713785660058, 11038.2780260651
10348.9906084902, 10348.9906084902, 688.886467777097, 3.50553193639121, 11041.3826082036
10349.5938605755, 10349.5938605755, 691.889460225995, 3.50886478263843, 11044.9921855842
10350.0965706467, 10350.0965706467, 693.691255695333, 3.50801947049378, 11047.2958458125
10350.4987387036, 10350.4987387036, 695.493051164672, 3.50912408084231, 11049.5009139491
10350.8003647463, 10350.8003647463, 697.29484663401, 3.51219417157627, 11051.6074055518
10351.2025328032, 10351.2025328032, 698.496043613569, 3.51020276137046, 11053.2087791781
