 DISTANCE,     TIME,Power latent,Power web,Power total
 cm,           sec,W,W,W
          ,             ,,,
1.23E+02,1.22E+00,5863.61027,414.4129579,6333.343981
1.26E+02,1.24E+00,5982.249847,415.6141549,6451.933554
1.28E+02,1.26E+00,6100.889423,416.8153519,6570.514969
1.30E+02,1.28E+00,6218.52358,418.0165489,6688.094835
1.33E+02,1.31E+00,6336.157737,419.2177459,6805.666611
1.35E+02,1.33E+00,6453.791893,421.0195413,6923.900924
1.37E+02,1.35E+00,6571.42605,422.8213368,7042.123101
1.39E+02,1.37E+00,6688.054786,424.0225338,7158.673346
1.42E+02,1.40E+00,6804.683523,425.8243293,7275.880163
1.44E+02,1.42E+00,6921.312259,427.6261247,7393.074949
1.46E+02,1.44E+00,7037.940996,430.0285187,7510.918286
1.49E+02,1.46E+00,7153.564312,431.8303142,7627.094013
1.51E+02,1.49E+00,7269.187629,434.2327081,7743.914419
1.53E+02,1.51E+00,7383.805525,436.6351021,7859.726068
1.55E+02,1.53E+00,7498.423421,439.6380945,7976.174618
1.58E+02,1.55E+00,7613.041317,442.641087,8092.603461
1.60E+02,1.58E+00,7726.653793,445.6440794,8208.020003
1.62E+02,1.60E+00,7839.260849,449.2476704,8323.071311
1.65E+02,1.62E+00,7951.867905,452.8512613,8438.099385
1.67E+02,1.64E+00,8063.469541,457.0554507,8552.754894
1.69E+02,1.67E+00,8174.065757,461.2596402,8666.391396
1.71E+02,1.69E+00,8284.661972,466.0644281,8780.640424
1.74E+02,1.71E+00,8393.247348,471.4698145,8893.512573
1.76E+02,1.73E+00,8501.832723,476.8752009,9006.351118
1.78E+02,1.76E+00,8608.407258,482.8811858,9117.80656
1.81E+02,1.78E+00,8713.976373,490.0883677,9229.497538
1.83E+02,1.80E+00,8818.540068,497.2955495,9340.153848
1.85E+02,1.82E+00,8921.092922,505.7039284,9450.041621
1.87E+02,1.85E+00,9022.640357,514.7129057,9559.51586
1.90E+02,1.87E+00,9122.176951,524.9230801,9668.206524
1.92E+02,1.89E+00,9219.702705,535.7338529,9775.482037
1.94E+02,1.91E+00,9314.212198,547.7458227,9880.97101
1.97E+02,1.94E+00,9406.710851,561.5595879,9986.275934
1.99E+02,1.96E+00,9496.193244,575.9739517,10089.15944
2.01E+02,1.98E+00,9582.659376,592.7907094,10191.47114
2.03E+02,2.00E+00,9665.807622,610.8086641,10291.6704
2.06E+02,2.03E+00,9745.235813,630.6284143,10389.9729
2.08E+02,2.05E+00,9820.642324,652.8505584,10486.68943
2.10E+02,2.07E+00,9891.725528,676.874498,10580.90482
2.13E+02,2.09E+00,9958.183799,703.3008315,10672.93179
2.15E+02,2.12E+00,10019.81605,731.5289606,10761.96095
2.17E+02,2.14E+00,10076.42121,762.1594835,10848.40611
2.19E+02,2.16E+00,10127.79818,795.1924005,10932.07229
2.22E+02,2.18E+00,10173.94696,830.6277114,11012.96374
2.24E+02,2.21E+00,10215.06865,867.8648177,11090.67697
2.26E+02,2.23E+00,10251.06269,906.9037196,11165.12376
2.29E+02,2.25E+00,10282.4318,946.5432199,11235.59521
